Identifiant;n° notice BnF;Type de notice ;Type de document;Titre;Auteur;Contributeur;Editeur;Date;Description;Sujet;Langue;Format;
http://catalogue.bnf.fr/ark:/12148/cb43467812q | ISBN 9782013224390 | ;43467812;monographie;texte imprimé;"Mon ami Frédéric (Nouv. présentation) Hans Peter Richter ; traduit de l'allemand par Anne Georges";Richter, Hans Peter (1925-1993). Auteur du texte;Georges, Anne. Traducteur;Hachette Jeunesse (Paris);2007;"Collection : Le livre de poche jeunesse ; 8 | Code à barres commercial : EAN 9782013224390 | ";;fre | français | ;"221 p. ; 18 x 13 cm";
http://catalogue.bnf.fr/ark:/12148/cb43474873d | ISBN 9782070629022 | ;43474873;monographie;texte imprimé;La lumière volée (Nouv. présentation) Hubert Mingarelli;Mingarelli, Hubert (1956-2020). Auteur du texte;;Gallimard-Jeunesse (Paris);2009;"Collection : Folio junior ; 1234 | Code à barres commercial : EAN 9782070629022 | ";;fre | français | ;"134 p. ; 18 x 13 cm";
http://catalogue.bnf.fr/ark:/12148/cb434825332 | ISBN 9782081242098 | ;43482533;monographie;texte imprimé;"Jonathan Livingston le goéland / Richard Bach ; traduit de l'américain par Pierre Clostermann ; illustrations Gérard Franquin";Bach, Richard (1936-....). Auteur du texte;Clostermann, Pierre (1921-2006). Traducteur | Franquin, Gérard (1951-....). Illustrateur | ;Flammarion (Paris);2010;Collection : Flammarion Jeunesse | Code à barres commercial : EAN 9782081242098 | ;;fre | français | ;"1 vol. (105 p.) : illustrations en noir et blanc ; 18 x 13 cm";
http://catalogue.bnf.fr/ark:/12148/cb43477364s | ISBN 9782203033238 | ;43477364;monographie;texte imprimé;"Soundiata : l'enfant-lion / Lilyan Kesteloot ; illustrations Joëlle Jolivet";Kesteloot, Lilyan (1931-2018). Auteur du texte;Jolivet, Joëlle (1965-....). Illustrateur;Casterman (Bruxelles);2010;Collection : Casterman poche | Code à barres commercial : EAN 9782203033238 | ;;fre | français | ;"1 vol. (112 p.) : illustrations en noir et blanc ; 17 x 12 cm";
http://catalogue.bnf.fr/ark:/12148/cb43468654b | ISBN 9782013225236 | ;43468654;monographie;texte imprimé;"La verluisette (Nouv. éd.) Roberto Piumini ; traduit de l'italien par Armand Monjo";Piumini, Roberto (1947-....). Auteur du texte;Monjo, Armand (1913-1998). Traducteur;Hachette Jeunesse (Paris);2007;"Collection : Le livre de poche jeunesse ; 374 | Code à barres commercial : EAN 9782013225236 | ";;fre | français | ;"123 p. : illustrations en noir et blanc ; 18 x 13 cm";
http://catalogue.bnf.fr/ark:/12148/cb434753649 | ISBN 9782211098083 | ;43475364;monographie;texte imprimé;Voyage à Pitchipoï (Nouv. éd.) Jean-Claude Moscovici;Moscovici, Jean-Claude (1936-....). Auteur du texte;;Ecole des loisirs (Paris);2009;Collection : Médium | Code à barres commercial : EAN 9782211098083 | ;;fre | français | ;"132 p. ; 19 x 13 cm";
http://catalogue.bnf.fr/ark:/12148/cb434753242 | ISBN 9782070626250 | ;43475324;monographie;texte imprimé;"Sauterelle (Nouv. présentation) Dick King-Smith ; traduit de l'anglais par Henri Robillot";King-Smith, Dick (1922-2011). Auteur du texte;Robillot, Henri. Illustrateur;Gallimard-Jeunesse (Paris);2009;"Collection : Folio junior ; 1004 | Code à barres commercial : EAN 9782070626250 | ";;fre | français | ;"154 p. : illustrations en noir et blanc ; 18 x 13 cm";
http://catalogue.bnf.fr/ark:/12148/cb434651547 | ISBN 9782211086837 | ;43465154;monographie;texte imprimé;"Quel cafouillage ! / Gianni Rodari ; Illustrations de Alessandro Sanna ; Traduit de l'italien par Sofia Turconi";Rodari, Gianni (1920-1980). Auteur du texte;Sanna, Alessandro (1975-....). Illustrateur | Turconi, Sofia. Traducteur | ;Ecole des loisirs (Paris);2007;Collection : Lutin poche | Code à barres commercial : EAN 9782211086837 | ;;fre | français | ;"ill. en coul. ; 19 x 15 cm";
http://catalogue.bnf.fr/ark:/12148/cb43480915r | ISBN 9782878335897 | ;43480915;monographie;texte imprimé;"Les trois questions (Nouv. éd.) Jon J. Muth ; adapté d'un conte de Léon Tolstoï";;Tolstoj, Lev Nikolaevič (1828-1910). Auteur adapté | Muth, Jon J. (1960-....). Adaptateur. Illustrateur | ;Circonflexe (Paris);2011;Collection : Albums | Code à barres commercial : EAN 9782878335897 | ;;fre | français | ;1 vol. : ill. en coul.;
http://catalogue.bnf.fr/ark:/12148/cb434774255 | ISBN 9782070631780 | ;43477425;monographie;texte imprimé;"Maman, ma soeur et moi (Nouv. présentation) Jacqueline Wilson ; illustrations Nick Sharratt ; traduit de l'anglais par Olivier de Broca";Wilson, Jacqueline (1945-....). Auteur du texte;Sharratt, Nick (1962-....). Illustrateur | Broca, Olivier de. Traducteur | ;Gallimard-Jeunesse (Paris);2010;"Collection : Folio junior ; 1037 | Code à barres commercial : EAN 9782070631780 | ";;fre | français | ;"1 vol. (280 p.) : illustrations en noir et en couleur ; 18 x 13 cm";
http://catalogue.bnf.fr/ark:/12148/cb43467845p | ISBN 9782013224574 | ;43467845;monographie;texte imprimé;"La petite fille au kimono rouge (Nouv. présentation) Kay Haugaard ; traduit de l'anglais par F. de Lassus-Saint-Genies ; illustrations de Cécile Gambini";Haugaard, Kay. Auteur du texte;Lassus-Saint-Geniès, F. de. Traducteur | Gambini, Cécile (1973-....). Illustrateur | ;Hachette Jeunesse (Paris);2007;"Collection : Le livre de poche jeunesse ; 64 | Code à barres commercial : EAN 9782013224574 | ";;fre | français | ;"155 p. : ill. ; 18 x 13 cm";
http://catalogue.bnf.fr/ark:/12148/cb43484666s | ISBN 9782747045988 | ;43484666;monographie;texte imprimé;"Sorcières de mère en fille / Serge Bloch ; illustrations Nicolas Hubesch";Bloch, Serge (1956-....). Auteur du texte;Hubesch, Nicolas (1969-....). Illustrateur;Bayard Jeunesse (Montrouge (Hauts-de-Seine));2013;"Collection : Album | Collection : Zouk ; 7 | Code à barres commercial : EAN 9782747045988 | ";;fre | français | ;"1 vol. (64 p.) : ill. en coul. ; 21 x 19 cm";
http://catalogue.bnf.fr/ark:/12148/cb43478026n | ISBN 9782916681269 | ;43478026;monographie;texte imprimé;Au loin le monde est tout petit / illustrations Ianna Andréadis;;Andréadis, Ianna (1960-....). Illustrateur;Enfance et musique (Pantin (Seine-Saint-Denis));2010;Collection : Les livres-disques d'Enfance et musique | Code à barres commercial : EAN 9782916681269 | ;;fre | français | ;"1 vol. (24 p.) ; 18 x 18 cm + 1 CD audio";
http://catalogue.bnf.fr/ark:/12148/cb43467676d | ISBN 9782013224093 | ;43467676;monographie;texte imprimé;"Deux graines de cacao (Nouv. présentation) Evelyne Brisou-Pellen ; illustrations de Nicolas Wintz";Brisou-Pellen, Évelyne (1947-....). Auteur du texte;Wintz, Nicolas (1959-....). Illustrateur;Hachette Jeunesse (Paris);2007;"Collection : Le livre de poche jeunesse ; 748 | Code à barres commercial : EAN 9782013224093 | ";;fre | français | ;"285 p. ; 18 x 13 cm";
http://catalogue.bnf.fr/ark:/12148/cb43475546x | ISBN 9782070626335 | ;43475546;monographie;texte imprimé;"Tom et le jardin de minuit (Nouv. présentation) Philippa Pearce ; illustrations de William Geldart ; traduit de l'anglais par Cécile Loeb";Pearce, Philippa (1920-2006). Auteur du texte;Loeb, Cécile. Traducteur | Geldart, William (1936-....). Illustrateur | ;Gallimard-Jeunesse (Paris);2009;"Collection : Folio junior ; 690 | Code à barres commercial : EAN 9782070626335 | ";;fre | français | ;"237 p. ; 18 x 13 cm";
http://catalogue.bnf.fr/ark:/12148/cb43475806h | ISBN 9782070630073 | ;43475806;monographie;texte imprimé;"Chouette (Nouv. présentation) Carl Hiaasen ; traduit de l'anglais par (Etats-Unis) Yves Sarda";Hiaasen, Carl (1953-....). Auteur du texte;Sarda, Yves. Traducteur;Gallimard-Jeunesse (Paris);2010;"Collection : Folio junior ; 1356 | Code à barres commercial : EAN 9782070630073 | ";;fre | français | ;"344 p. ; 18 x 13 cm";
http://catalogue.bnf.fr/ark:/12148/cb434758771 | ISBN 9782070630288 | ;43475877;monographie;texte imprimé;"Au pays du grand condor (Nouv. présentation) Nadèjda Garrel ; illustrations de Bernard Héron";Garrel, Nadèjda (1939-2003). Auteur du texte;Héron, Bernard (1953-....). Illustrateur;Gallimard-Jeunesse (Paris);2010;"Collection : Folio junior ; 486 | Code à barres commercial : EAN 9782070630288 | ";;fre | français | ;"187 p. : illustrations en noir et blanc ; 18 x 13 cm";
http://catalogue.bnf.fr/ark:/12148/cb43474197g | ISBN 9782878334807 | ;43474197;monographie;texte imprimé;Pourquoi les zèbres sont-ils en pyjama ? (Nouv. éd.) Lila Prap;;Prap, Lila (1955-....). Illustrateur;Circonflexe (Paris);2009;Collection : Aux couleurs du monde | Code à barres commercial : EAN 9782878334807 | ;Animaux de la jungle;fre | français | ;"40 p. : ill. en coul. ; 25 x 25 cm";
http://catalogue.bnf.fr/ark:/12148/cb43481067r | ISBN 9782930618142 | ;43481067;monographie;texte imprimé;"Game over. 7, Only for your eyes / Midam, Thitaume ; illustrations Adam";Midam (1963-....). Auteur du texte | Thitaume. Auteur du texte | ;Adam (1969-....). Illustrateur;Mad fabrik (Lasne (Belgique));2011;Code à barres commercial : EAN 9782930618142;;fre | français | ;"1 vol. (48 p.) : ill. en coul. ; 30 x 22 cm";
http://catalogue.bnf.fr/ark:/12148/cb43482537f | ISBN 9782211208345 | ;43482537;monographie;texte imprimé;"Le passeur (Nouvelle présentation) Lois Lowry ; traduit de l'américain par Frédérique Pressmann";Lowry, Lois (1937-....). Auteur du texte;Pressmann, Frédérique. Traducteur;Ecole des loisirs (Paris);2011;Collection : Médium | Code à barres commercial : EAN 9782211208345 | ;;fre | français | ;"1 vol. (288 p.) ; 19 x 13 cm";
http://catalogue.bnf.fr/ark:/12148/cb43467667f | ISBN 9782070612918 | ;43467667;monographie;texte imprimé;"Coup de gigot : et autres histoires à faire peur (Nouv. présentation) Roald Dahl ; traduit de l'anglais par Elisabeth Gaspar, Hilda Barberis";Dahl, Roald (1916-1990). Auteur du texte;Gaspar, Élisabeth (1920-2011). Traducteur | Barberis, Hilda. Traducteur | ;Gallimard-Jeunesse (Paris);2007;"Collection : Folio junior ; 1181 | Comprend : Tous les chemins mènent au ciel ; La logeuse ; William et Mary | Code à barres commercial : EAN 9782070612918 | ";;fre | français | ;"115 p. ; 18 x 13 cm";
http://catalogue.bnf.fr/ark:/12148/cb43483648m | ISBN 9782355042355 | ;43483648;monographie;texte imprimé;"Une cuisine qui sent bon les soupes du monde : calendrier 2013 / recettes et histoires d'Alain Serres ; en collaboration avec Laurana Serres-Giardi ; images d'Aurélia Fronty";Serres, Alain (1956-....). Auteur du texte;Serres-Giardi, Laurana (1985-....). Collaborateur | Fronty, Aurélia (1973-....). Illustrateur | ;Rue du Monde (Paris);2012;Collection : Cuisine, cuisines | Code à barres commercial : EAN 9782355042355 | ;Soupes;fre | français | ;"1 vol. (64 p.) : ill. en coul. ; 35 x 28 cm + 1 calendrier";
http://catalogue.bnf.fr/ark:/12148/cb43488438z | ISBN 9782930618524 | ;43488438;monographie;texte imprimé;"Watergate / Midam, Thitaume ; illustrations Adam";Midam (1963-....). Auteur du texte | Thitaume. Auteur du texte | ;Adam (1969-....). Illustrateur;Mad fabrik (Lasne (Belgique));2013;Code à barres commercial : EAN 9782930618524;;fre | français | ;"1 vol. (48 p.) : ill. en coul. ; 30 x 22 cm";
http://catalogue.bnf.fr/ark:/12148/cb43482538s | ISBN 2070519791 | ;43482538;monographie;texte imprimé;"La pourpre du guerrier (Réimpr.) Rosemary Sutcliff ; traduit de l'anglais par Henri Robillot ; illustrations Philippe Munch";Sutcliff, Rosemary (1920-1992). Auteur du texte;Munch, Philippe (1959-....). Illustrateur | Robillot, Henri. Traducteur | ;Gallimard-Jeunesse (Paris);1999;"Collection : Folio junior ; 776 | Code à barres commercial : EAN 9782070519798 | ";;fre | français | ;"1 vol. (282 p.) : illustrations en noir et blanc ; 18 x 13 cm";
http://catalogue.bnf.fr/ark:/12148/cb43476568g | ISBN 9782742791620 | ;43476568;monographie;texte imprimé;"La géologie à petits pas (Nouv. éd.) François Michel ; illustrations de Robin";Michel, François (1948-....). Auteur du texte;Robin (1969-....). Illustrateur;Actes Sud junior (Arles (Bouches-du-Rhône));2010;Collection : À petits pas | Code à barres commercial : EAN 9782742791620 | ;Géologie;fre | français | ;"77 p. : ill. en coul. ; 25 x 17 cm";
http://catalogue.bnf.fr/ark:/12148/cb43473408m | ISBN 9782013227254 | ;43473408;monographie;texte imprimé;"Les larmes noires / Julius Lester ; traduit de l'américain par Raphaële Eschenbrenner";Lester, Julius (1939-2018). Auteur du texte;Eschenbrenner, Raphaële. Traducteur;Le livre de poche jeunesse (Paris);2008;"Collection : Le livre de poche jeunesse ; 1363 | Code à barres commercial : EAN 9782013227254 | ";;fre | français | ;"153 p. ; 18 x 13 cm";
http://catalogue.bnf.fr/ark:/12148/cb43475329s | ISBN 9782070626267 | ;43475329;monographie;texte imprimé;"Shabanu (Nouv. présentation) Suzanne Fisher Staples ; traduit de l'anglais par Janine Hérisson";Staples, Suzanne Fisher. Auteur du texte;Hérisson, Janine. Traducteur;Gallimard-Jeunesse (Paris);2009;"Collection : Folio junior ; 128 | Code à barres commercial : EAN 9782070626267 | ";;fre | français | ;"291 p. ; 18 x 13 cm";
http://catalogue.bnf.fr/ark:/12148/cb43588620m | ISBN 9782365772129 | ;43588620;monographie;texte imprimé;"Les mille et une nuits (et jours) / scénario, Bill Willingham ; dessin, Mark Buckingham, Lan Medina, Jim Fern...";Willingham, Bill (1956-....). Auteur du texte;Buckingham, Mark (1966-....). Illustrateur | Medina, Lan (1961-....). Illustrateur | Fern, Jim (1964-....). Illustrateur | ;Urban comics (Paris);2013;Collection : Collection Vertigo classiques | Code à barres commercial : EAN 9782365772129 | ;;fre | français | ;"1 vol. (160 p.) : ill. en coul., couv. ill. en coul. ; 27 cm";
http://catalogue.bnf.fr/ark:/12148/cb43410280t;43410280;monographie;texte imprimé;Histoire d'une larme / Katsumi Komagata;;;Les trois Ourses (Paris);2012;;;Sans contenu linguistique;;
http://catalogue.bnf.fr/ark:/12148/cb43404220q | ISBN 9782505005681 | ;43404220;monographie;texte imprimé;"Nekomura-san. 3 / Yoriko Hoshi ; traduit et adapté du japonais par Thibaud Desbief";Hoshi, Yoriko (1974-....). Auteur du texte;Desbief, Thibaud. Adaptateur;Kana (Bruxelles);2009;Code à barres commercial : EAN 9782505005681;;fre | français | ;"256 p. : illustrations en noir et blanc ; 21 x 15 cm";
http://catalogue.bnf.fr/ark:/12148/cb43404980h;43404980;monographie;texte imprimé;"Ma rencontre avec Violet Park / Jenny Valentine ; traduit de l'anglais par Diane Ménard";Valentine, Jenny. Auteur du texte;Ménard, Diane. Traducteur;l'Ecole des loisirs (Paris);2010;Collection : Médium;;fre | français | ;"229 p. ; 19 x 13 cm";
http://catalogue.bnf.fr/ark:/12148/cb434309507 | ISBN 0521647886 | ;43430950;monographie;texte imprimé;"Bâiller, c'est contagieux ! / Beverly Burkett ; Et al. ; trad. Véronique Tadjo ; ill. Lyn Stonestreet";Burkett, Beverly. Auteur du texte;Tadjo, Véronique (1955-....). Traducteur | Stonestreet, Lyn. Illustrateur | ;Cambridge University Press ();1998;Collection : Cambridge african language library;;fre | français | ;16 p.;
http://catalogue.bnf.fr/ark:/12148/cb43710280b | ISBN 9782820315465 | ;43710280;monographie;texte imprimé;Le véritable Merck !! / Mitsutoshi Shimabukuro;Shimabukuro, Mitsutoshi (1975-....). Auteur du texte;;Kazé (Paris);2013;Collection : Shonen | Code à barres commercial : EAN 9782820315465 | ;;fre | français | ;"1 vol. (non paginé [ca 192] p.) : ill., couv. ill., jaquette ill. en coul. ; 18 cm";
http://catalogue.bnf.fr/ark:/12148/cb43392650z | ISBN 2755700769 | ;43392650;monographie;texte imprimé;Le grand bazar / V.V. Radunsky-Radunsky;Radunsky, Vladimir. Auteur du texte;;Ed. du Panama (Paris);2006;Code à barres commercial : EAN 9782755700763;Livres | illustrations, images, etc. -- ouvrages pour la jeunesse | ;fre | français | ;"100 p. : ill. en nb. ; 34 x 25 cm";
http://catalogue.bnf.fr/ark:/12148/cb43608970h | ISBN 9782354254773 | ;43608970;monographie;texte imprimé;"Denis la Malice : l'intégrale. Volume 1, 1951 / Hank Ketcham ; [traduit de l'américain par Jean-Éric Perrin]";Ketcham, Hank (1920-2001). Auteur du texte;Perrin, Jean-Éric. Traducteur;Fetjaine (Paris);2013;Code à barres commercial : EAN 9782354254773;;fre | français | ;"1 vol. (non paginé [ca 312] p.) : ill., couv. ill. ; 13 cm";
http://catalogue.bnf.fr/ark:/12148/cb43493330x | ISBN 9782918574057 | ;43493330;monographie;texte imprimé;L'Incroyable histoire du collier du roi Makoko de Mbé / Eugénie Mouayini Opou;Mouayini Opou, Eugénie. Auteur du texte;;Ed. Les Manguiers (Brazzaville (Congo));2010;Code à barres commercial : EAN 9782918574057;;fre | français | ;"1 vol. (52 p.) : ill. en noir et blanc, couv. ill. en coul. ; 18 cm";
http://catalogue.bnf.fr/ark:/12148/cb434889208 | ISBN 9789991911014 | ;43488920;monographie;texte imprimé;"Des lauriers et des huées / Sonia Rosa ; Salmo Dansa";Rosa, Sonia (1959-....). Auteur du texte;Dansa, Salmo (1966-....). Illustrateur;Éditions Ruisseaux d'Afrique (Kindonou [Cotonou]);2012;Collection : Collection Ruisseaux d'ailleurs | Code à barres commercial : EAN 9789991911014 | ;;fre | français | ;"1 vol. (28 p.) : ill. en coul., couv. ill. en coul. ; 28 cm";
http://catalogue.bnf.fr/ark:/12148/cb43488220b | ISBN 9782912754585 | ;43488220;monographie;texte imprimé;Olaf : le géant mélomane / Annelise Heurtier;Heurtier, Annelise (1979-....). Auteur du texte;;Benjamins media (Montpellier);2012;Code à barres commercial : EAN 9782912754585;;fre | français | ;"1 vol. (34 p.) : ill. en coul. ; 21 x 23 cm";
http://catalogue.bnf.fr/ark:/12148/cb43488050q;43488050;monographie;texte imprimé;Yannick Dombi. Terreur à Lambaréné / Fargas;Fargas. Auteur du texte;;Multipress (Libreville);2010;;;fre | français | ;"1 vol. (64 p.) : ill. en coul., couv. ill. en coul. ; 29 cm";
http://catalogue.bnf.fr/ark:/12148/cb43490220m | ISBN 9789953374383 | ;43490220;monographie;texte imprimé;"Jouhâ wa himârouhou fî al-sûq / Odile Weulersse ; ill. Rebecca Dautremer ; trad. Nadine Khoury | Jouha et son âne au marché | ";Weulersse, Odile (1938-....). Auteur du texte;Dautremer, Rébecca (1971-....). Illustrateur | Khoury, Nadine. Traducteur | ;Academia International (Beyrouth);2012;;;ara | arabe | ;"32 p. : ill. coul. ; 29 x 22 cm";
http://catalogue.bnf.fr/ark:/12148/cb43453020z | ISBN 9789991986241 | ;43453020;monographie;texte imprimé;"Kadi garde son frère / Béatrice Lalinon Gbado ; illustrations Hortense Mayaba";Lalinon Gbado, Béatrice (1962-....). Auteur du texte;Mayaba, Hortense (1959-....). Illustrateur;Ruisseaux d'Afrique (Cotonou);2011;Collection : Le serin, La collection des tout-petits;;fre | français | ;"11 p. : ill. en coul., couv. ill. en coul. ; 21 x 15 cm";
http://catalogue.bnf.fr/ark:/12148/cb434814802 | ISBN 9782505015161 | ;43481480;monographie;texte imprimé;"Lydie (Nouvelle présentation) illustrations et couleurs Jordi Lafebre ; scénario Zidrou";Zidrou (1962-....). Auteur du texte;Lafebre, Jordi (1979-....). Illustrateur;Dargaud (Paris);2012;Collection : Long courrier | Code à barres commercial : EAN 9782505015161 | ;;fre | français | ;"1 vol. (60 p.) : ill. en coul. ; 33 x 25 cm";
http://catalogue.bnf.fr/ark:/12148/cb40976370x | ISBN 9782748505504 | ;40976370;monographie;texte imprimé;Armand dur à cuire ! / Olivier Mau;Mau, Olivier (1967-....). Auteur du texte;;Syros (Paris);2007;Collection : Mini Syros | Code à barres commercial : EAN 9782748505504 | ;;fre | français | ;"1 vol. (39 p.) : couv. ill. en coul. ; 17 cm";
http://catalogue.bnf.fr/ark:/12148/cb434080204 | ISBN 9782916101026 | ;43408020;monographie;texte imprimé;"La Belle ensorcelée (3e éd.) Koffivi Assem ; illustrations KanAd";Assem, Koffivi Mawoto. Auteur du texte;Folly-Notsron, Kanyi Adrien (1983-....). Illustrateur;Graines de pensées (Lomé);2010;Collection : Epis d'or;;fre | français | ;"79 p. : ill., couv. ill. ; 19 x 14 cm";
http://catalogue.bnf.fr/ark:/12148/cb434012607 | ISBN 9782211091145 | ;43401260;monographie;texte imprimé;"Contes géorgiens : Natsarkékia / contes choisis, traduits et adaptés par Kéthévane Davrichewy ; illustrations d'Olivier Matouk";;Davrichewy, Kéthévane (1965-....). Éditeur scientifique | Matouk, Olivier. Illustrateur | ;l'Ecole des loisirs (Paris);2008;Collection : Neuf;;fre | français | ;"151 p. : ill. en noir et blanc., couv. ill. en coul. ; 19 x 13 cm";
